,,,,Type,Trap,Latitude,Longitude,Elevation,2008-2009,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,# full years barcoded,"# partial years barcoded (if sorted all received, but received <50samples, considered partial)",,
BARBILLA EDGE,,NOT,rain forest,Peripheral,BARB1,9.97037,-83.44942,306,,,,,,,,,,45,12,,,,1,1,,
BARBILLA SHADE,,NOT,rain forest,Peripheral,BARB2,9.96858,-83.44865,268,,,,,,,,,,43,12,,,,1,1,,
STROUD EDDG,,NOT,dry-rain intersection,Peripheral,Baru1,9.2623,-83.874289,15,,,,,,,,,52,52,52,52,3,,2,,,
STROUD SHADE,,NOT,dry-rain intersection,Peripheral,Baru2,9.26301,-83.871361,62,,,,,,,,,52,52,52,52,3,,2,,,
BOCONERA EDGE,,NOT,rain forest,Peripheral,Boconera1,10.75889,-85.00917,420,,,,,,,,,,,52,52,1,,1,,,
BOCONERA SHADE,,NOT,rain forest,Peripheral,Boconera2,10.75889,-85.00917,420,,,,,,,,,,,52,52,1,,1,,,
BOSQUE transicion edge,,ACG,dry-rain intersection,Peripheral,BT01,10.90037,-85.37254,500,,,,,,,,,,,,52,52,32,,1,,
BOSQUE transicion shde,,ACG,dry-rain intersection,Peripheral,BT02,10.90037,-85.37254,500,,,,,,,,,,,,52,52,33,1,,,
Liceo Dos Rios edge,,ACG,rain forest,Peripheral,LDR1,10.8930856,-85.3794057,545,,,,,,,,,,,,,52,4,,1,,
Liceo Dos Rios shade,,ACG,rain forest,Peripheral,LDR3,10.8930856,-85.3794057,545,,,,,,,,,,,,,52,4,,1,,
MMC MANGROVE,,ACG,dry forest,Peripheral,MBT1,10.55173,-85.42575,2,,,,,,,,,,,,,24,,,1,,
HOUSE SHADE,,ACG,dry forest,Peripheral,Sombra,10.83764,-85.61871,295,,,,,,,,,,,,52,10,,1,,,
HOUSE SUN,,ACG,dry forest,Peripheral,LuzSol,10.83764,-85.61871,295,,,,,,,,,,,52,52,30,,1,,,
Pitilla Edge  1,,ACG,rain forest,Peripheral,Pitilla1,10.98906,-85.42414,682,,,,,,,,,,,,,45,,,1,,
Pitilla Shade 2,,ACG,rain forest,Peripheral,Pitilla2,10.98881,-85.42286,671,,,,,,,,,,,,,45,,,1,,
