BOLD code,Frequency,,,
BOLD:ABY6626,1,,,
BOLD:ABY6627,1,,,
BOLD:ABY7235,3,,,
BOLD:ABY9810,1,,,
BOLD:ABZ1039,1,,,
BOLD:ABZ2026,2,,,
BOLD:ABZ2906,4,,,
BOLD:ACB1893,3,,,
BOLD:ACB8549,4,,,
BOLD:ACE4337,3,,,
BOLD:ACE8120,1,,,
BOLD:ACE8721,7,,,
BOLD:ACE8845,6,,,
BOLD:ACE8951,1,,,
BOLD:ACF0272,10,,,
BOLD:ACF0511,8,,,
BOLD:ACF1747,1,,,
BOLD:ACF2929,2,,,
BOLD:ACF2953,1,,,
BOLD:ACF2959,1,,,
BOLD:ACF2960,1,,,
BOLD:ACF3142,2,,,
BOLD:ACF3757,7,,,
BOLD:ACF4585,4,,,
BOLD:ACG3371,1,,,
BOLD:ACG3373,3,,,
BOLD:ACJ1259,1,,,
BOLD:ACJ2416,1,,,
BOLD:ACJ2550,2,,,
BOLD:ACJ6625,1,,,
BOLD:ACK2620,2,,,
BOLD:ACL0795,3,,,
BOLD:ACL1263,3,,,
BOLD:ACL3803,1,,,
BOLD:ACL4468,33,,,
BOLD:ACL4489,8,,,
BOLD:ACM8436,2,,,
BOLD:ACM9154,1,,,
BOLD:ACR4922,1,,,
BOLD:ACR8256,3,,,
BOLD:ACU2758,1,,,
BOLD:ACV3805,1,,,
BOLD:ACV4289,1,,,
BOLD:ACW4804,1,,,
BOLD:ACX9239,1,,,
BOLD:ACY4770,1,,,
BOLD:ACZ8079,1,,,
BOLD:ADA1467,1,,,
BOLD:ADA1876,1,,,
BOLD:ADA2584,2,,,
BOLD:ADA4589,1,,,
BOLD:ADA7938,28,,,
BOLD:ADA9431,2,,,
BOLD:ADA9568,31,,,
BOLD:ADA9656,46,,,
BOLD:ADA9679,14,,,
BOLD:ADB0710,15,,,
BOLD:ADB1451,2,,,
BOLD:ADB2009,15,,,
BOLD:ADB2892,3,,,
BOLD:ADB2941,47,,,
BOLD:ADB3040,65,,,
BOLD:ADB3088,5,,,
BOLD:ADB3152,1,,,
BOLD:ADB3343,2,,,
BOLD:ADB4300,1,,,
BOLD:ADB4497,2,,,
BOLD:ADB4699,1,,,
BOLD:ADB4730,1,,,
BOLD:ADB5057,5,,,
BOLD:ADB7726,4,,,
BOLD:ADB7955,19,,,
BOLD:ADB8723,1,,,
BOLD:ADD0319,1,,,
BOLD:ADF3512,1,,,
BOLD:ADF6611,2,,,
BOLD:ADF6664,3,,,
BOLD:ADF7698,1,,,
BOLD:ADH1601,1,,,
BOLD:ADH6250,1,,,
BOLD:ADH6970,2,,,
BOLD:ADH7120,5,,,
BOLD:ADJ6568,19,,,
BOLD:ADK0331,1,,,
BOLD:ADW4450,1,,,
BOLD:ADW7655,5,,,
BOLD:ADX2378,1,,,
BOLD:ADY5893,3,,,
BOLD:AEA0779,1,,,
BOLD:AEA2049,38,,,
BOLD:AEA3007,2,,,
BOLD:AEA5829,4,,,
BOLD:AEA7875,1,,,
BOLD:AEA9104,1,,,
BOLD:AEB1477,8,,,
BOLD:AEB7445,16,,,
BOLD:AEB8464,5,,,
BOLD:AEB8654,1,,,
BOLD:AEC3857,1,,,
BOLD:AEC4531,3,,,
BOLD:AEC5126,1,,,
BOLD:AEC6781,1,,,
BOLD:AEC6802,1,,,
BOLD:AEC6850,4,,,
BOLD:AEC8352,1,,,
BOLD:AEC9209,1,,,
BOLD:AEC9358,5,,,
BOLD:AEC9455,1,,,
BOLD:AEC9488,8,,,
BOLD:AEC9816,1,,,
BOLD:AED0177,1,,,
BOLD:AED0267,1,,,
BOLD:AED1465,2,,,
BOLD:AED2446,30,,,
BOLD:AED2871,1,,,
BOLD:AED4370,1,,,
BOLD:AED6422,1,,,
BOLD:AED7775,1,,,
BOLD:AEE0925,1,,,
BOLD:AEE2398,1,,,
BOLD:AEE3265,3,,,
BOLD:AEE7200,2,,,
BOLD:AEE7530,1,,,
BOLD:AEE7619,4,,,
BOLD:AEE9304,1,,,
BOLD:AEF0134,2,,,
BOLD:AEF0378,5,,,
BOLD:AEF0455,2,,,
BOLD:AEF0470,1,,,
BOLD:AEF0484,1,,,
BOLD:AEF0693,1,,,
BOLD:AEF1620,1,,,
BOLD:AEF1879,1,,,
BOLD:AEF2002,1,,,
BOLD:AEF2167,1,,,
BOLD:AEF3092,4,,,
BOLD:AEF3185,2,,,
BOLD:AEF3230,1,,,
BOLD:AEF3491,1,,,
BOLD:AEF3706,2,,,
BOLD:AEF3782,3,,,
BOLD:AEF4140,1,,,
BOLD:AEF4342,2,,,
BOLD:AEF4688,1,,,
BOLD:AEF5772,1,,,
BOLD:AEF7307,2,,,
BOLD:AEF7738,3,,,
BOLD:AEF7986,5,,,
BOLD:AEF8000,1,,,
BOLD:AEF8556,1,,,
BOLD:AEF8793,1,,,
BOLD:AEG0110,1,,,
BOLD:AEG3510,1,,,
BOLD:AEG8787,1,,,
BOLD:AEG9101,2,,,
BOLD:AEH1237,1,,,
BOLD:AEH1686,1,,,
BOLD:AEH2202,1,,,
BOLD:AEH2689,4,,,
BOLD:AEH3022,4,,,
BOLD:AEH4302,1,,,
BOLD:AEH4932,1,,,
BOLD:AEI3740,1,,,
BOLD:AEJ1824,1,,,
BOLD:AEJ3088,1,,,
BOLD:AEJ8114,1,,,
BOLD:AEL8883,1,,,
BOLD:AEL9772,2,,,
BOLD:AEM2200,1,,,
BOLD:AEM3644,2,,,
BOLD:AEM4282,7,,,
BOLD:AEM5779,1,,,
BOLD:AEM6817,1,,,
BOLD:AEM7904,1,,,
BOLD:AEM8812,1,,,
BOLD:AEM9150,2,,,
BOLD:AEN2045,1,,,
BOLD:AEN2289,1,,,
BOLD:AEN4592,1,,,
BOLD:AEN4779,1,,,
BOLD:AEN6931,1,,,
BOLD:AEN7825,1,,,
BOLD:AEO9119,1,,,
BOLD:AES2421,1,,,
BOLD:AES5139,1,,,
BOLD:AES6587,1,,,
BOLD:AET3846,1,,,
BOLD:AEU0043,1,,,
BOLD:AEY7511,2,,,
BOLD:AEZ3433,1,,,
BOLD:AFI4867,1,,,
BOLD:AFK0427,1,,,
BOLD:AFK1700,1,,,
BOLD:AFU5153,1,,,
BOLD:AFW6095,1,,,
BOLD:AGB0786,1,,,
BOLD:AGG1770,2,,,
