BOLD code,Frequency,,,
BOLD:ABY3502,5,,,
BOLD:ABY5258,1,,,
BOLD:ABY6876,1,,,
BOLD:ABY7037,1,,,
BOLD:ABY7235,1,,,
BOLD:ABY7274,1,,,
BOLD:ABY7999,9,,,
BOLD:ABY8051,2,,,
BOLD:ABY9810,9,,,
BOLD:ABZ2999,1,,,
BOLD:ABZ3946,5,,,
BOLD:ABZ4093,2,,,
BOLD:ABZ7618,1,,,
BOLD:ABZ7908,2,,,
BOLD:ABZ7986,6,,,
BOLD:ABZ9375,1,,,
BOLD:ACE4337,7,,,
BOLD:ACE6407,1,,,
BOLD:ACE6684,1,,,
BOLD:ACE8228,1,,,
BOLD:ACE8721,6,,,
BOLD:ACE8823,1,,,
BOLD:ACE8845,1,,,
BOLD:ACE9183,7,,,
BOLD:ACE9199,2,,,
BOLD:ACF0267,1,,,
BOLD:ACF0268,1,,,
BOLD:ACF0272,9,,,
BOLD:ACF0511,11,,,
BOLD:ACF0807,76,,,
BOLD:ACF1627,1,,,
BOLD:ACF1747,3,,,
BOLD:ACF2929,14,,,
BOLD:ACF2960,1,,,
BOLD:ACF3142,2,,,
BOLD:ACF3757,1,,,
BOLD:ACF4585,2,,,
BOLD:ACI3397,1,,,
BOLD:ACI3413,1,,,
BOLD:ACL0795,1,,,
BOLD:ACL1263,2,,,
BOLD:ACL4468,3,,,
BOLD:ACL4489,3,,,
BOLD:ACM2107,2,,,
BOLD:ACM8436,2,,,
BOLD:ACM9409,1,,,
BOLD:ACV3805,3,,,
BOLD:ACV4289,1,,,
BOLD:ACX9239,1,,,
BOLD:ACY9397,1,,,
BOLD:ADA2584,3,,,
BOLD:ADA7938,1,,,
BOLD:ADA9656,1,,,
BOLD:ADA9679,3,,,
BOLD:ADB2009,1,,,
BOLD:ADB2892,2,,,
BOLD:ADB2941,5,,,
BOLD:ADB3040,1,,,
BOLD:ADB3088,1,,,
BOLD:ADB4497,1,,,
BOLD:ADB5057,3,,,
BOLD:ADB7955,1,,,
BOLD:ADD0319,1,,,
BOLD:ADJ6568,7,,,
BOLD:ADK6021,1,,,
BOLD:ADW7655,1,,,
BOLD:ADX5743,1,,,
BOLD:AEB7445,1,,,
BOLD:AEC6850,5,,,
BOLD:AED0177,14,,,
BOLD:AED0267,1,,,
BOLD:AED2446,8,,,
BOLD:AED6422,1,,,
BOLD:AEF2167,1,,,
BOLD:AEF3782,1,,,
BOLD:AEF4688,1,,,
BOLD:AEF7307,1,,,
BOLD:AEF7738,1,,,
BOLD:AEG3510,2,,,
BOLD:AEJ8971,1,,,
BOLD:AEK5130,1,,,
BOLD:AEM0782,1,,,
BOLD:AEM5779,3,,,
BOLD:AEN0738,1,,,
BOLD:AEN4779,1,,,
BOLD:AEO2163,1,,,
BOLD:AEO3327,1,,,
BOLD:AEP1950,1,,,
BOLD:AER4623,5,,,
BOLD:AER7450,2,,,
BOLD:AES8341,5,,,
BOLD:AES9467,1,,,
BOLD:AEU2374,1,,,
BOLD:AEU9888,2,,,
BOLD:AEY7511,5,,,
BOLD:AEY7512,1,,,
BOLD:AEZ5932,1,,,
BOLD:AFC7057,1,,,
BOLD:AFD8506,1,,,
BOLD:AFE5933,2,,,
BOLD:AFF5095,1,,,
BOLD:AFF5198,3,,,
BOLD:AFG8411,1,,,
BOLD:AFH7818,1,,,
BOLD:AFI4867,1,,,
BOLD:AFI7206,1,,,
BOLD:AFI7944,1,,,
BOLD:AFJ4258,8,,,
BOLD:AFK6288,2,,,
BOLD:AFK6290,1,,,
BOLD:AFO4569,1,,,
BOLD:AFU1645,1,,,
BOLD:AFU8933,1,,,
BOLD:AFV2745,1,,,
BOLD:AFV3079,1,,,
BOLD:AFV4284,1,,,
BOLD:AFW1565,1,,,
BOLD:AFX2419,1,,,
BOLD:AFX7630,4,,,
BOLD:AFX7631,3,,,
BOLD:AFX7633,1,,,
BOLD:AFX7634,1,,,
BOLD:AFX7635,1,,,
BOLD:AFX7647,1,,,
BOLD:AFX7650,2,,,
BOLD:AFX7651,1,,,
BOLD:AFX7655,1,,,
BOLD:AFX9476,1,,,
BOLD:AFX9998,4,,,
BOLD:AFY1763,1,,,
BOLD:AFY2071,1,,,
BOLD:AFY3133,2,,,
BOLD:AFY3863,1,,,
BOLD:AFY4403,1,,,
BOLD:AGA4724,1,,,
BOLD:AGA4770,1,,,
BOLD:AGA4780,2,,,
BOLD:AGA6060,3,,,
BOLD:AGA7827,1,,,
BOLD:AGA9368,1,,,
BOLD:AGB0754,1,,,
BOLD:AGB0792,4,,,
BOLD:AGB7761,1,,,
BOLD:AGD6582,4,,,
BOLD:AGF3552,1,,,
BOLD:AGF3891,1,,,
BOLD:AGF3892,1,,,
BOLD:AGG1770,1,,,
