,uri,lat,lon,code
183,BOLD:ACE4369,10.8913,-85.598,ASMG
184,BOLD:ACE8120,10.8925,-85.6034,ASMG
185,BOLD:AAA9150,10.893,-85.3788,ACGAZ
186,BOLD:AAA7376,10.8949,-85.2667,ASMGJ
187,BOLD:ABZ5286,10.8962,-85.2777,ACGAZ
188,BOLD:AAJ1399,10.8964,-85.4737,ASMG
189,BOLD:ABX5812,10.89666,-85.29003,ACGBA
190,BOLD:AAD2262,10.8967,-85.29,ACGAZ
191,BOLD:AAA8844,10.89678,-85.27001,ACGBA
192,BOLD:ABZ5889,10.8968,-85.27,ACGAZ
193,BOLD:ACE8258,10.8986,-85.5642,ASMGJ
194,BOLD:AAC2073,10.89928,-85.27486,ACGBA
195,BOLD:AAC7396,10.8993,-85.2749,ACGAZ
196,BOLD:ABX6539,10.89974,-85.38085,ASMG
197,BOLD:AAA2143,10.9002,-85.5659,ASMGJ
198,BOLD:AAA7143,10.90037,-85.37254,ACGBA
199,BOLD:AAA7143,10.9004,-85.3725,ACGAZ
200,BOLD:AEW9677,10.9009,-85.2891,ACGAZ
201,BOLD:AAA7143,10.90093,-85.28915,ACGBA
202,BOLD:AAM1056,10.90187,-85.27495,ACGBA
203,BOLD:ABX6008,10.9019,-85.2749,ACGAZ
204,BOLD:AAK1533,10.9028,-85.29,ASMG
205,BOLD:ABX5649,10.9035,-85.3092,ASHYB
206,BOLD:AAA7376,10.90376,-85.30274,ACGBA
207,BOLD:ABX5018,10.9038,-85.2596,ACGAZ
208,BOLD:AAJ1402,10.9042,-85.2712,ACGAZ
209,BOLD:ABX6008,10.9043,-85.2865,ACGAZ
210,BOLD:AAA7143,10.90445,-85.28412,ACGBA
211,BOLD:AAM1068,10.9045,-85.2841,ACGBA
212,BOLD:AAA7143,10.9047,-85.468,ASMG
213,BOLD:AAA6775,10.90528,-85.27882,ACGBA
214,BOLD:ABY3308,10.9053,-85.2788,ACGAZ
215,BOLD:AAM1056,10.9061,-85.2828,ACGAZ
216,BOLD:AAB4485,10.9066,-85.2878,ACGAZ
217,BOLD:AAJ1375,10.90661,-85.28784,ACGBA
